fid,name,type,addr1,addr2,zip,lon,lan,tel,city,gugun,createDate,erdsgn,upDate
38,가남전천후게이트볼장,전천후게이트볼장,경기도 여주시 가남읍 태평리 174 가남게이트볼장,,12662,127.5452191,37.20447185,031-887-2972,경기도,여주시,20161107,N,2025-06-30
39,가남체육공원,육상경기장,경기도 여주시 가남읍 태평리 산65-5,,12662,127.534034,37.20184761,,경기도,여주시,20161107,N,2024-10-31
40,가남체육공원국궁장,국궁장,경기도 여주시 가남읍 태평리 산65-5,,12662,127.5345584,37.20193085,,경기도,여주시,20161107,N,2025-06-30
41,가남체육공원축구장,축구장,경기도 여주시 가남읍 태평리 산65-5,,12662,127.5349062,37.20166671,031-887-2972,경기도,여주시,19990101,N,2025-06-30
42,가납2리 동네체육시설,간이운동장,경기도 양주시 광적면 가납리 70-1 가납2리마을회관,,11415,127.0007086,37.83039694,031-8082-5647,경기도,양주시,20220802,N,2025-06-16
43,가납리 동네체육시설,간이운동장,경기도 양주시 광적면 가납리 463-6,가납리 산73,11416,126.9948259,37.81407032,031-8082-5647,경기도,양주시,20190129,N,2025-06-16
44,가느실 경로당,간이운동장,경상북도 안동시 와룡면 중가구리 363 경로당,,36611,128.7766248,36.60345283,,경상북도,안동시,20150101,N,2025-04-14
45,가단리 생활체육시설,간이운동장,전라남도 진도군 의신면 가단길 44,,58933,126.2642416,34.43588783,,전라남도,진도군,20140101,N,2024-10-31
46,가덕게이트볼장,전천후게이트볼장,전라남도 함평군 신광면 가덕리 126-1,,57113,126.4913965,35.13024059,,전라남도,함평군,20161230,N,2024-10-31
47,가덕생활체육공원게이트볼장,전천후게이트볼장,충청북도 청주시 상당구 가덕면 인차리 산25-1,,28203,127.5500027,36.54812276,043-270-7378,충청북도,청주시,20120627,Y,2025-06-26
48,가덕생활체육공원인라인스케이트장,롤러스케이트장,충청북도 청주시 상당구 가덕면 인차리 산25-1,,28203,127.5508356,36.54808314,043-270-7378,충청북도,청주시,20120601,N,2025-06-26
49,가도리 게이트볼장,간이운동장,경상북도 문경시 호계면 가도리 322-4,,36928,128.2163129,36.65115245,054-550-8646,경상북도,문경시,19990101,N,2025-01-30
50,가동,간이운동장,부산광역시 기장군 정관읍 용수리 223,,46004,129.1827805,35.33277213,,부산광역시,기장군,20130324,N,2025-07-29
51,가라산공원 야외배드민턴장,간이운동장,경기도 고양시 덕양구 화신로 148 (행신동),,10493,126.841994,37.62518207,,경기도,고양시,20171204,N,2025-05-30
52,가락3리 동네 체육시설,간이운동장,충청북도 청주시 흥덕구 옥산면 가락리 766-5,,28113,127.3730763,36.66715064,043-201-7625,충청북도,청주시,20180620,N,2025-06-30
53,가락4리 동네체육시설,간이운동장,충청북도 청주시 흥덕구 옥산면 가락리 136-18,,28302,127.3919369,36.66210864,043-201-7625,충청북도,청주시,20170426,N,2025-06-30
54,가락리 동네체육시설,간이운동장,충청북도 청주시 흥덕구 옥산면 가락리 766-5,,28113,127.3730763,36.66715064,043-201-7625,충청북도,청주시,20170426,N,2025-06-30
55,가람공원,간이운동장,경상북도 구미시 옥계동 756-6,가람,39190,128.4237774,36.13535349,054-480-5588,경상북도,구미시,19000101,N,2024-10-31
56,가례게이트볼장,간이운동장,경상남도 의령군 가례면 가례리 468-1 가례면게이트볼회관,,52137,128.2455652,35.32678956,055-570-4404,경상남도,의령군,20060101,N,2025-07-16
57,가례공설운동장,축구장,경상남도 의령군 가례면 대천리 54 가례면그라운드골프회관,,52133,128.2260048,35.32693202,055-570-2422,경상남도,의령군,20091021,N,2025-02-02
58,가례리 마을회관,간이운동장,경상북도 김천시 대덕면 가례리 584-1 가례리마을회관,,39697,127.987887,35.94820032,054-421-2278,경상북도,김천시,20190101,N,2025-06-26
59,가류1리경로당,간이운동장,경상북도 안동시 와룡면 가류리 1315-2 가류1리경로당,,36610,128.8203817,36.64332005,054-840-4061,경상북도,안동시,19990101,N,2025-04-14
60,가르네마을 쉼터,간이운동장,경상북도 안동시 녹전면 사천리 496,,36601,128.7435874,36.76975549,054-840-4664,경상북도,안동시,20130101,N,2025-06-11
61,가르뱅이경로당동네체육시설,간이운동장,대구광역시 서구 상리동 237-1,,41750,128.5302857,35.88285953,053-663-2173,대구광역시,서구,19990101,N,2025-01-14
62,가르뱅이공원 동네체육시설,간이운동장,대구광역시 서구 상리동 산262-3,,41750,128.5246781,35.88126336,053-663-2173,대구광역시,서구,19990101,N,2025-01-14
63,가리게이트볼장,간이운동장,경기도 안성시 일죽면 가리길 81-11,,17528,127.4890259,37.08544679,031-678-2484,경기도,안성시,20161231,N,2024-10-31
64,가린산리 솔펜션앞 간이운동기구,간이운동장,,인제읍 가리산리 93-17,24643,128.3332046,38.04538688,,강원특별자치도,인제군,20171201,N,2024-10-31
65,가마 체육시설,간이운동장,전라남도 해남군 화원면 후산리 104 가마마을회관,,59001,126.3013234,34.70150798,061-531-3613,전라남도,해남군,19000101,N,2024-10-31
66,가마골테니스장,테니스장,전라남도 진도군 진도읍 동문길 69,,58918,126.270206,34.48915521,061-540-6273,전라남도,진도군,20050101,N,2025-07-31
67,가마실 족구장,기타시설,충청북도 영동군 영동읍 동정리 103,,29140,127.7893256,36.17770582,,충청북도,영동군,20171221,N,2025-05-07
68,가막1리(마을회관) 동네체육시설,간이운동장,경상북도 상주시 모서면 가막리 414,,37275,127.9458718,36.35995891,054-537-8296,경상북도,상주시,20160101,N,2025-05-27
69,가막2리(마을회관) 동네체육시설,간이운동장,경상북도 상주시 모서면 가막리 145-3,,37275,127.95982,36.3555366,054-537-8296,경상북도,상주시,20170101,N,2025-05-27
70,가복(본동)마을 체육시설,간이운동장,경상남도 밀양시 무안면 마흘리 321-1 가복복지회관,,50405,128.6915652,35.4993699,055-359-5780,경상남도,밀양시,20150101,N,2025-05-23
71,가복(정동)마을 체육시설,간이운동장,경상남도 밀양시 무안면 마흘리 922 가복복지회관,,50405,128.6932598,35.49229439,055-359-5780,경상남도,밀양시,20100101,N,2025-05-23
72,가봉리 마을회관 주민생활 체육시설,간이운동장,전라남도 화순군 춘양면 가봉리 563 가봉리사무소,,58159,126.9565754,34.94001035,061-379-5032,전라남도,화순군,19000101,N,2025-06-16
73,가북면전전후게이트볼장,전천후게이트볼장,경상남도 거창군 가북면 우혜리 1497-5 가북면보건지소,,50117,127.99498,35.76473843,055-940-7863,경상남도,거창군,20110101,N,2025-07-21
74,가북용산마을게이트볼장,전천후게이트볼장,경상남도 거창군 가북면 용산리 1076-2,,50116,127.9919433,35.73942207,055-940-8720,경상남도,거창군,20160101,N,2025-07-21
75,가사게이트볼장,간이운동장,충청남도 서산시 부석면 가사수등길 10,,32017,126.3559289,36.75875727,041-660-3424,충청남도,서산시,20161231,N,2024-10-31
76,가사게이트볼장,전천후게이트볼장,충청남도 서산시 부석면 가사리 산136,,32017,126.3559289,36.75875727,,충청남도,서산시,20161231,N,2024-10-31
77,가사리 쉼터,간이운동장,경상북도 안동시 도산면 가송리 342-1,가사리쉼터,36603,128.8972208,36.76460737,054-840-4611,경상북도,안동시,20160101,N,2025-05-26
78,가산1리,간이운동장,경상북도 의성군 가음면 가산리 487 가산1리노인회관,,37358,128.7352724,36.22354135,054-830-5145,경상북도,의성군,20180101,N,2024-10-31
79,가산1리 동네체육시설,간이운동장,충청북도 청주시 상당구 남일면 가산리 산52-2,,28186,127.4965675,36.56461967,,충청북도,청주시,20100101,N,2024-11-08
80,가산2리,간이운동장,경상북도 의성군 가음면 가산리 737,,37358,128.7301833,36.22885536,054-830-5145,경상북도,의성군,19000101,N,2024-10-31
81,가산2리 동네체육시설,간이운동장,충청북도 청주시 상당구 남일면 가산리 산66-4,,28186,127.4994542,36.56115805,,충청북도,청주시,20120101,N,2024-11-08
82,가산리게이트볼장,전천후게이트볼장,충청남도 공주시 의당면 가산리 347,,32516,127.1825776,36.55410346,041-840-2528,충청남도,공주시,20010101,N,2025-06-25
83,가산마을(2) 체육시설,간이운동장,경상남도 밀양시 부북면 가산리 50,,50401,128.702167,35.5312901,055-359-5780,경상남도,밀양시,20150520,N,2025-06-02
84,가산마을회관,간이운동장,전라남도 장성군 삼서면 홍정리 251 마을회관,,57256,126.6939377,35.23149058,061-390-7255,전라남도,장성군,20170301,N,2025-06-23
85,가산면 다부리 다부1리 체육시설(자율방범대 사무실 앞),간이운동장,경상북도 칠곡군 가산면 다부리 255-46,,39851,128.520294,36.04753131,054-979-5413,경상북도,칠곡군,20130101,N,2025-06-17
86,가산면 다부리 다부리게이트볼장,간이운동장,경상북도 칠곡군 가산면 다부리 255-11,,39851,128.5203366,36.04812912,054-979-5382,경상북도,칠곡군,20190827,N,2025-06-17
87,가산면 송학리 송학2리 체육시설,간이운동장,경상북도 칠곡군 가산면 송학리 254-8,,39850,128.5200534,36.10446018,054-979-5413,경상북도,칠곡군,20140401,N,2025-06-17
88,가산면 심곡리 심곡리 체육시설,간이운동장,경상북도 칠곡군 가산면 심곡리 328-1,,39850,128.4955078,36.1135749,054-979-5413,경상북도,칠곡군,20120101,N,2025-06-17
89,가산면 천평리 천평리 체육시설(농협 옆),간이운동장,경상북도 칠곡군 가산면 천평리 38 가산파출소,,39852,128.5390551,36.08646191,054-979-5413,경상북도,칠곡군,20070101,N,2025-06-17
90,가산면 학하리 고남리 경로당,간이운동장,경상북도 칠곡군 가산면 학하리 1256-3,,39849,128.4776978,36.09479661,054-979-5413,경상북도,칠곡군,20180301,N,2025-06-17
91,가산면 학하리 학하1리 체육시설,간이운동장,경상북도 칠곡군 가산면 학하리 83-3 학하1리회관,,39849,128.4883952,36.10177587,054-979-5413,경상북도,칠곡군,20160325,N,2025-06-17
92,가산면민운동장테니스장,간이운동장,경상북도 칠곡군 가산면 송학리 78-4,,39850,128.5199698,36.10334746,054-979-5202,경상북도,칠곡군,20131028,N,2025-06-17
93,가산면풋살구장,기타시설,경기도 포천시 가산면 마산리 286-1,,11164,127.1852617,37.83858569,031-538-2105,경기도,포천시,20181211,N,2025-06-24
94,가산체육문화센터,생활체육관,경기도 포천시 가산면 감암길 27-1,,11164,127.1863038,37.85001893,,경기도,포천시,20160201,N,2025-06-24
95,가섭정,국궁장,충청북도 음성군 음성읍 용광로 327,,27688,127.6783962,36.96556026,043-871-2482,충청북도,음성군,19960105,N,2025-06-04
96,가송농촌전통테마마을,간이운동장,경상북도 안동시 도산면 가송리 484-1,가송농촌전통테마마을,36603,128.889534,36.77074844,054-840-4611,경상북도,안동시,20240322,N,2025-05-26
97,가송리팜카페,간이운동장,경상북도 안동시 도산면 가송리 453-2,,36603,128.8891985,36.76681011,054-840-4612,경상북도,안동시,20210325,N,2025-05-26
98,가수2리 주민생활체육시설,간이운동장,전라남도 화순군 동복면 가수리 411 동북가수리상가마을짐대,,58102,127.1715925,35.10954653,061-373-9519,전라남도,화순군,20230901,N,2025-06-12
99,가수원동 수변생태공원 체육시설,간이운동장,대전광역시 서구 가수원동 157-1,,35388,127.3601699,36.3045385,,대전광역시,서구,20170626,N,2024-10-31
100,가술테니스장,테니스장,경상남도 창원시 의창구 대산면 가술길1번길 11-1,,51124,128.70665,35.33447198,,경상남도,창원시,20161231,N,2024-10-31
101,가시골공원,간이운동장,경상북도 구미시 봉곡동 4,,39211,128.3163822,36.14279841,054-480-5573,경상북도,구미시,19000101,N,2024-10-31
102,가신1리소규모체육시설,간이운동장,충청북도 충주시 노은면 가신리 356-7,,27450,127.7230964,37.05803416,043-850-2351,충청북도,충주시,20201112,N,2025-06-29
103,가신2리소규모체육시설,간이운동장,충청북도 충주시 노은면 가신리 679,,27450,127.7189362,37.06526174,043-850-2351,충청북도,충주시,20191203,N,2025-06-29
104,가신3리 체육시설,간이운동장,충청북도 충주시 노은면 가신리 486-1 가신3동마을회관,가신3리 다기능회관,27450,127.7309401,37.0566018,043-850-2351,충청북도,충주시,20190426,N,2025-06-29
105,가야게이트볼장,간이운동장,경상남도 합천군 가야면 황산리 61-15,가야게이트볼장,50201,128.1365476,35.75834503,055-930-4941,경상남도,합천군,20161231,N,2025-06-17
106,가야곡 게이트볼장,전천후게이트볼장,충청남도 논산시 가야곡면 육곡리 173-1,,33020,127.1593034,36.13761775,041-746-5893,충청남도,논산시,20220215,N,2025-07-23
107,가야국민체육센터,생활체육관,경상남도 합천군 가야면 야천리 943,경남 합천군 가야면 야천리 962,50201,128.1347701,35.76803002,,경상남도,합천군,20161231,Y,2025-03-26
108,가야리 경로당,간이운동장,경상북도 안동시 와룡면 가야리 371 가야리경로당,,36610,128.789604,36.65170775,,경상북도,안동시,20150101,N,2025-04-14
109,가야리 늪실마을 공터,간이운동장,경상북도 안동시 와룡면 가야리 761,,36610,128.7807152,36.65204283,,경상북도,안동시,20190520,N,2025-04-04
110,가야정,국궁장,경기도 여주시 강천면 간매리 171,,12616,127.7052633,37.27389645,031-887-2972,경기도,여주시,20161107,N,2025-06-30
111,가양리게이트볼장,전천후게이트볼장,경기도 포천시 창수면 가양리 465,,11135,127.1992327,37.9788558,031-538-4402,경기도,포천시,19990101,N,2025-06-24
112,가업리 동네체육시설,간이운동장,경기도 양주시 백석읍 양주산성로 730,,11516,126.9747295,37.78614877,,경기도,양주시,20171122,N,2025-06-17
113,가오치마을 체력단련시설,간이운동장,경상남도 통영시 도산면 오륜리 941-5 가오치마을회관,,53004,128.3213924,34.90531916,055-650-4723,경상남도,통영시,20181126,N,2024-10-31
114,가은 청솔공원 파크골프장,파크골프장,경상북도 문경시 가은읍 성저리 231,,36998,128.039282,36.61582198,054-550-6917,경상북도,문경시,20241220,N,2025-06-30
115,가은초등학교 풋살장,간이운동장,경상북도 문경시 가은읍 왕능리 292 가은초등학교,,36996,128.0621276,36.64421285,054-550-8544,경상북도,문경시,20170825,N,2024-10-31
116,가음면 가산1리 운동기구,간이운동장,경상북도 의성군 가음면 가산리 487 가산1리노인회관,,37358,128.7352724,36.22354135,054-830-5145,경상북도,의성군,20180101,N,2025-06-24
117,가음면 가산2,간이운동장,경상북도 의성군 가음면 가산리 737,가산2리,37358,128.7301833,36.22885536,054-830-5145,경상북도,의성군,20160101,N,2025-06-24
118,가음면 귀천3리,간이운동장,경상북도 의성군 가음면 귀천리 624-11 귀천리경로당,,37358,128.717712,36.2315919,054-830-5145,경상북도,의성군,20170101,N,2025-06-24
119,가음면 순호2리,간이운동장,경상북도 의성군 가음면 순호리 550 순호보건진료소,,37359,128.7269527,36.2108889,054-830-5145,경상북도,의성군,20130101,N,2024-12-18
120,가음면 순호3리 경로당,간이운동장,경상북도 의성군 가음면 순호리 933-3 순호3리 경로당,,37359,128.7137862,36.20533655,054-830-5145,경상북도,의성군,20160101,N,2025-06-24
121,가음면 양지리,간이운동장,경상북도 의성군 가음면 양지리 330 양지리마을회관,양지리,37358,128.7370686,36.22993093,054-830-5145,경상북도,의성군,20230601,N,2025-06-24
122,가음면 이1리,간이운동장,경상북도 의성군 가음면 이리 759 이리마을회관,,37358,128.7453047,36.25251613,054-830-5145,경상북도,의성군,20190101,N,2025-06-24
123,가음면 이2,간이운동장,경상북도 의성군 가음면 이리 산52 이리경로당,,37358,128.752232,36.24548444,054-830-5145,경상북도,의성군,20170101,N,2025-06-24
124,가음면 장리(어울림),간이운동장,경상북도 의성군 가음면 장리 1311,,37358,128.7266792,36.23452878,054-830-5145,경상북도,의성군,20120101,N,2025-06-24
125,가음면 현리1리,간이운동장,경상북도 의성군 가음면 현리리 256-4,,37359,128.765207,36.21498474,054-830-5145,경상북도,의성군,20140101,N,2025-06-24
126,가음면 현리2리,간이운동장,경상북도 의성군 가음면 현리리 1377,,37359,128.7545302,36.21970528,054-830-5145,경상북도,의성군,20130101,N,2025-06-24
127,가음체육관,간이운동장,경상북도 의성군 가음면 가산리 866-1,,37358,128.7289705,36.23284519,054-830-5145,경상북도,의성군,20220701,N,2024-10-31
128,가인마을,간이운동장,전라남도 장성군 북하면 가인길 66,,57205,126.8772755,35.43564996,,전라남도,장성군,20040101,N,2024-10-31
129,가일2리 마을회관,간이운동장,경기도 가평군 설악면 가일리 92-1 가일2리노인정,,12473,127.5091491,37.59564994,031-580-2242,경기도,가평군,20200121,N,2025-06-28
130,가일리 마을공터03(복지회관 근처),간이운동장,경상북도 경산시 압량읍 가일리 141-3 가일리복지회관,,38539,128.7832309,35.84161113,053-804-7614,경상북도,경산시,20231204,N,2025-03-13
131,가일리다목적실내체육관,전천후게이트볼장,경기도 가평군 설악면 가일리 180-11,,12473,127.4942096,37.60527448,031-580-2147,경기도,가평군,20190201,N,2025-07-16
132,가작마을회관,간이운동장,전라남도 장성군 장성읍 단광리 360-6 가작마을경로당,가작마을회관,57217,126.7941153,35.28135058,061-390-8506,전라남도,장성군,19000101,N,2025-06-23
133,가재마을 앞 주차장,간이운동장,경상북도 봉화군 봉성면 우곡리 357-1,,36226,128.8238422,36.92831117,054-679-5213,경상북도,봉화군,20200522,N,2025-07-31
134,가정2리(마을공터),간이운동장,경상북도 경주시 현곡면 가정리 44-1,마을회관,38044,129.1651103,35.90022404,054-779-8251,경상북도,경주시,20110101,N,2025-06-18
135,가정3리(마을회관),간이운동장,경상북도 경주시 현곡면 가정리 686 가정3리마을회관,.,38044,129.1598911,35.89987213,054-779-8251,경상북도,경주시,20100101,N,2025-06-19
136,가정고등학교,간이운동장,인천광역시 서구 서달로 162 (석남동),,22799,126.6797181,37.51351582,,인천광역시,서구,20161231,N,2024-10-31
137,가정공원,간이운동장,인천광역시 서구 가정로406번길 10 (가정동),,22777,126.6742702,37.52093957,033-560-4800,인천광역시,서구,20161231,N,2024-10-31
138,가정마을회관,간이운동장,전라남도 장성군 동화면 용정리 573-1 가정 마을회관,,57241,126.7409977,35.27860732,061-390-8477,전라남도,장성군,20230301,N,2025-06-23
139,가정초등학교,간이운동장,인천광역시 서구 장고개로 336-1 (가좌동),,22811,126.6884324,37.49166279,032-560-3142,인천광역시,서구,20161231,N,2024-10-31
140,가조면어린이공원전천후게이트볼장,전천후게이트볼장,경상남도 거창군 가조면 마상리 148-2,,50118,128.0154257,35.70743014,055-940-8733,경상남도,거창군,20120101,N,2025-07-21
141,가좌1리 동네체육시설,간이운동장,충청북도 청주시 서원구 남이면 가좌리 376-1,,28181,127.4599768,36.5796731,043-201-6504,충청북도,청주시,20200822,N,2025-05-29
142,가좌2리 동네체육시설,간이운동장,충청북도 청주시 청원구 오창읍 가좌리 321-1,,28105,127.3793662,36.74115972,043-201-8976,충청북도,청주시,19000101,N,2025-02-13
143,가좌공원 게이트볼장,기타시설,경기도 고양시 일산서구 송산로 387-7 (가좌동),가좌공원,10210,126.7216817,37.68619741,,경기도,고양시,20171226,N,2025-06-16
144,가좌근린공원,간이운동장,인천광역시 서구 장고개로287번길 25 (가좌동),,22820,126.6812536,37.48863068,033-560-4800,인천광역시,서구,20161231,N,2024-10-31
145,가좌배드민턴경기장,구기체육관,경기도 고양시 일산서구 송산로 387-7 (가좌동),,10210,126.7216817,37.68619741,,경기도,고양시,20161231,N,2025-05-28
146,가좌어린이공원,간이운동장,인천광역시 서구 고래울로 12 (가좌동),,22821,126.684201,37.487925,033-560-4800,인천광역시,서구,20161231,N,2024-10-31
147,가좌울공원,간이운동장,인천광역시 서구 고래울로 35 (가좌동),,22813,126.6859383,37.48672229,033-560-4800,인천광역시,서구,20161231,N,2024-10-31
148,가좌테니스장,테니스장,인천광역시 서구 가좌로11번길 7 (가좌동),가좌테니스장,22829,126.6772121,37.47555874,032-899-5681,인천광역시,,20050205,N,2025-07-16
149,가중2리 동네체육시설,간이운동장,충청북도 청주시 상당구 남일면 가중리 408-3,,28186,127.4703427,36.57350311,043-201-5653,충청북도,청주시,20180607,N,2024-11-08
150,가차마을회관 앞,간이운동장,전라남도 해남군 송지면 가차리 761 가차리마을회관,,59063,126.5163807,34.40391156,,전라남도,해남군,19000101,N,2025-06-29
151,가창 단산리 쉼터 동네체육시설,간이운동장,대구광역시 달성군 가창면 단산1길 8,가창면 단산리 716(단산리 마을쉼터),42939,128.6599963,35.76845478,,대구광역시,달성군,20100101,N,2025-04-09
152,가창 오리 동네체육시설,간이운동장,대구광역시 달성군 가창면 헐티로10길 1,달성군 가창면 오리 768(오동2교 인근),42932,128.5933964,35.78797005,,대구광역시,달성군,19970101,N,2025-06-16
153,가창 용계 동네체육시설,간이운동장,대구광역시 달성군 가창면 가창로 1083,달성군 가창면 용계리 128번지(용계교옆 하천변),42933,128.6223311,35.80110932,,대구광역시,달성군,20100701,N,2025-04-09
154,가창체육공원축구장,축구장,대구광역시 달성군 가창면 가창로 604,,42939,128.6502953,35.76752136,053-659-4143,대구광역시,달성군,20101228,N,2025-06-30
155,가창체육공원테니스장,테니스장,대구광역시 달성군 가창면 가창로 604,,42939,128.6502953,35.76752136,053-653-4143,대구광역시,달성군,20101228,N,2025-06-30
156,가천리 동네체육시설,간이운동장,경상북도 영천시 신녕면 가천리 183-1 가천리마을회관,,38802,128.7914259,36.0543934,054-339-7212,경상북도,영천시,20240911,N,2025-04-11
157,가천입구 동네체육시설,간이운동장,경상북도 영양군 일월면 영양로 2801,근처,36516,129.1527078,36.72539468,,경상북도,영양군,20161230,N,2024-10-31
158,가치리 생활체육시설,간이운동장,전라남도 진도군 지산면 가치길 74-2,,58952,126.1246171,34.43608218,,전라남도,진도군,20130101,N,2024-10-31
