fid,name,type,zip,addr1,addr2,lon,lat,tel,city,gugun,date
68,(음봉면) 덕지2리 마을 내,간이운동장,31416,충청남도 아산시 음봉면 덕지리 21-3 초원그린타운,,127.0857135,36.84103563,041-537-3105,충청남도,아산시,20220930
69,(음봉면) 동암1리 복지회관,간이운동장,31415,충청남도 아산시 음봉면 동암리 522-16 동암1리복지회관,,127.0547653,36.84673394,041-537-3105,충청남도,아산시,20150101
70,(음봉면) 산정1리 마을회관,간이운동장,31443,충청남도 아산시 음봉면 산정리 70-5,,127.0047462,36.85450318,041-537-3105,충청남도,아산시,20160101
71,(음봉면) 소동1리 마을회관,간이운동장,31413,충청남도 아산시 음봉면 소동리 236-4 소동1리마을회관,,127.0485937,36.86704057,041-537-3105,충청남도,아산시,20150101
72,(음봉면) 소동2리 마을회관,간이운동장,31413,충청남도 아산시 음봉면 소동리 365-4 소동2리마을회관,,127.0441849,36.86679431,041-537-3105,충청남도,아산시,20210101
73,(음봉면) 신정1리 마을회관,간이운동장,31423,충청남도 아산시 음봉면 신정리 94-2,,127.0258576,36.87057569,041-537-3105,충청남도,아산시,20150101
74,(음봉면) 신정1리 마을회관,간이운동장,31423,충청남도 아산시 음봉면 신정리 94-2,,127.0258149,36.87055344,041-537-3105,충청남도,아산시,19990101
75,(음봉면) 신휴1리 마을회관,간이운동장,31408,충청남도 아산시 음봉면 신휴리 92-3,,127.0690403,36.89594262,041-537-3105,충청남도,아산시,20190101
76,(음봉면) 신휴3리 마을회관,간이운동장,31408,충청남도 아산시 음봉면 신휴리 214-5 신휴3리마을회관,,127.0652085,36.89760821,041-537-3105,충청남도,아산시,20190101
77,(음봉면) 쌍암1리 노인회관,간이운동장,31414,충청남도 아산시 음봉면 쌍암리 74-6 경노당,,127.0799091,36.873659,041-537-3105,충청남도,아산시,20210101
78,(음봉면) 쌍암3리 복지회관,간이운동장,31414,충청남도 아산시 음봉면 쌍암리 161-1 쌍암3리복지회관,,127.0813378,36.8792135,041-537-3105,충청남도,아산시,20210101
79,(음봉면) 쌍용1리 마을회관,간이운동장,31414,충청남도 아산시 음봉면 쌍룡리 260 쌍용1리마을회관,,127.0684515,36.87108837,041-537-3105,충청남도,아산시,20190101
80,(음봉면) 원남1리 마을회관,간이운동장,31423,충청남도 아산시 음봉면 원남리 247-2,,127.026002,36.86453296,041-537-3105,충청남도,아산시,19990101
81,(음봉면) 원남1리 마을회관,간이운동장,31423,충청남도 아산시 음봉면 원남리 257-12,,127.0241842,36.86506003,041-537-3105,충청남도,아산시,20170101
82,(이순신종합운동장)보조경기장,축구장,31580,충청남도 아산시 풍기동 114-3 이순신빙상장,또는 366-2,127.0223745,36.76887516,041-536-8531,충청남도,아산시,20160707
83,(이순신종합운동장)복합스포츠센터,생활체육관,31580,충청남도 아산시 풍기동 114-3 이순신빙상장,또는 366-2,127.0223745,36.76887516,041-536-8531,충청남도,아산시,20160707
84,(인공암벽장-01) 양산종합운동장,인공암벽장,50619,경상남도 양산시 북부동 533 양산종합운동장,,129.0354802,35.34851958,055-392-3403,경상남도,양산시,19000101
85,(임당1리)임당리 1075-1,간이운동장,,경북 청도군 금천면 임당리 1075-1,,128.9121625,35.70304225,054-370-2590,경상북도,청도군,20210325
86,(임당2리)경로회관,간이운동장,38363,경상북도 청도군 금천면 임당리 1670 임당2리경로회관,,128.9080416,35.69038361,054-370-2591,경상북도,청도군,20220408
87,(임당2리)명포습지,간이운동장,714872,경북 청도군 금천면 임당리 2145-11,,128.9055936,35.69051098,054-370-2591,경상북도,청도군,20140314
88,(장평노인회관앞),간이운동장,39695,경상북도 김천시 증산면 평촌리 236-3 장평노인회관,,128.0210411,35.89527624,054-421-2302,경상북도,김천시,20080101
89,(축구장-03) 서창운동장,축구장,50525,경상남도 양산시 삼호동 산34,,129.1822946,35.41161583,055-392-3404,경상남도,양산시,19000101
90,(축구장-04) 웅상체육공원,축구장,50541,경상남도 양산시 평산동 283 웅상체육공원,,129.1434299,35.37762612,055-392-3182,경상남도,양산시,19000101
91,(축구장-08)하북체육공원 1구장,축구장,50504,경상남도 양산시 하북면 초산리 456,,129.0786338,35.48064273,055-392-3404,경상남도,양산시,19980101
92,(축구장-14) 동면상동체육공원 축구장,축구장,50647,경상남도 양산시 동면 여락리 299 상동체육공원,,129.0902314,35.3063579,055-392-7104,경상남도,양산시,20151201
93,(출.문화-01) 탑골저수지 옆 산책로변,간이운동장,,경남 양산시 용당동 172-4,,129.1922155,35.41951664,055-392-6182,경상남도,양산시,19000101
94,(출.문화-46) 웅상배드민턴장,간이운동장,50517,경상남도 양산시 소주동 1204-5,,129.1507481,35.40057825,055-392-6181,경상남도,양산시,19000101
95,(테니스장-04) 서창운동장,테니스장,50525,경상남도 양산시 삼호동 157,,129.1822946,35.41161583,055-379-8574,경상남도,양산시,19000101
96,(테니스장-07) 하북지산,테니스장,50502,경상남도 양산시 하북면 지산리 46-1 지내마을회관,,129.0801489,35.49982749,055-392-7253,경상남도,양산시,19000101
97,(테니스장-10) 삽량체육공원 테니스장,테니스장,50644,경상남도 양산시 동면 내송리 산70-8,삽량체육공원 테니스장,129.0598804,35.32531616,055-392-7104,경상남도,양산시,20201201
98,(평창)청성골프타운(임대),골프연습장,25372,강원특별자치도 평창군 평창읍 후평리 365,,128.3855552,37.37736263,033-330-2082,강원특별자치도,평창군,20011107
99,01. 양지마을회관 앞 공터,간이운동장,38221,경상북도 경주시 양남면 상계리 160-2,,129.4233824,35.67024172,054-779-8172,경상북도,경주시,19991201
100,02. 나아마을회관 옆 공터,간이운동장,38219,경상북도 경주시 양남면 나아리 483 나아리마을회관경로당청년회,,129.4696846,35.70069857,054-779-8172,경상북도,경주시,20090101
101,03. 하서1리 당수나무 옆 공터,간이운동장,,경북 경주시 양남면 하서리 620-1,,129.463204,35.67604855,054-779-8172,경상북도,경주시,20150801
102,04. 나산마을 경로당,간이운동장,38217,경상북도 경주시 양남면 나산리 205 나산마을회관,,129.4592082,35.70949974,054-779-8172,경상북도,경주시,20150801
103,05. 월아 경로당,간이운동장,38220,경상북도 경주시 양남면 하서리 794,,129.4586531,35.67684144,054-779-8172,경상북도,경주시,20150801
104,06. 하서3리 경로당,간이운동장,38220,경상북도 경주시 양남면 하서리 666-2,,129.4619134,35.67323911,054-779-8172,경상북도,경주시,20150801
105,07. 달바다펜션 앞 공터,간이운동장,38219,경상북도 경주시 양남면 하서리 70-1,,129.467446,35.67992547,054-779-8172,경상북도,경주시,20160801
106,08. 웃나마을 경로당,간이운동장,38217,경상북도 경주시 양남면 상라리 155 상라리노인정,,129.4439551,35.73154278,054-779-8172,경상북도,경주시,20160801
107,09. 자붓마을 경로당,간이운동장,38217,경상북도 경주시 양남면 상라리 212-1 상라리마을회관,,129.4380533,35.73939308,054-779-8172,경상북도,경주시,20160801
108,1-1. 옥정중앙공원(인공호수 소녀의상 앞),간이운동장,11473,경기도 양주시 옥정동 1035-1,(인공호구 소녀의상 앞),127.0950189,37.82214334,031-8082-7316,경기도,양주시,19990101
109,1-2. 옥정중앙공원(무궁화동산 아래),간이운동장,,경기 양주시 옥정동 1039,(잔디광장 무궁화동산 아래쪽),127.0975083,37.82438486,031-8082-7316,경기도,양주시,19990101
110,1. 광명동 경로당 공터,간이운동장,38183,경상북도 경주시 광명동 135-7,,129.1510775,35.81947103,054-779-8422,경상북도,경주시,20141125
111,1. 옥정중앙공원(하류),간이운동장,11473,경기도 양주시 옥정동 1035-1,(인공호수 하류쪽),127.0950189,37.82214334,031-8082-7316,경기도,양주시,19990101
112,1.검바골공원,간이운동장,10445,경기도 고양시 일산동구 백석동 1156,,126.7911069,37.64863305,031-8075-6262,경기도,고양시,19990101
113,1.윗말어린이공원,간이운동장,10356,경기도 고양시 일산서구 일산동 1096 신일중학교,,126.7736739,37.6772232,031-8075-7263,경기도,고양시,20101101
114,10-1. 선돌공원(중흥e클래스센텀시티 앞),간이운동장,,경기 양주시 옥정동 908,중흥e클래스 센텀시티 아파트 앞,127.0868366,37.82286483,031-8082-7316,경기도,양주시,19990101
115,10. 전방마을 경로당,간이운동장,38216,경상북도 경주시 양남면 환서리 688,,129.4456669,35.69301678,054-779-8172,경상북도,경주시,20160801
116,10.범룡골 약수터 동네체육시설,간이운동장,10249,탄현동 1447-3,,126.7698357,37.69996541,031-8075-7443,경기도,고양시,19941201
117,10.부촌공원,간이운동장,410380,경기 고양시 일산동구 장항동 879,,126.7773234,37.64709058,031-8075-6262,경기도,고양시,20180131
118,10.재동길 경로당,간이운동장,38057,경상북도 경주시 충효동 1600 재동마을회관,,129.1627411,35.84500705,054-779-8422,경상북도,경주시,20180101
119,11. 가온길공원(푸르지오906~907동 앞),간이운동장,,경기 양주시 옥정동 955-5,푸르지오아파트 906~907동 앞,127.0902926,37.82276926,031-8082-7316,경기도,양주시,19990101
120,11. 구만마을 경로당,간이운동장,38216,경상북도 경주시 양남면 환서리 449 환서2리노인정,,129.4474631,35.69884721,054-779-8172,경상북도,경주시,20160801
121,11.설촌공원,간이운동장,10412,경기도 고양시 일산동구 마두동 874 설촌경로당,,126.7886259,37.66203522,031-8075-6262,경기도,고양시,20180131
122,11.외외2길 경로당,간이운동장,38065,경상북도 경주시 효현동 570 외외마을회관,,129.1688164,35.82591312,054-779-8422,경상북도,경주시,20180101
123,12. 규율공원-2,간이운동장,,경기 양주시 옥정동 1043-4,,127.1000813,37.82676132,031-8082-7316,경기도,양주시,19990101
124,12. 효제마을 경로당,간이운동장,38216,경상북도 경주시 양남면 효동리 1229 효동1리회관,,129.3920403,35.74218289,054-779-8172,경상북도,경주시,20160801
125,12.구산동 동네체육시설,간이운동장,10201,구산동 413-26,,126.703115,37.69328064,031-8075-7443,경기도,고양시,20110601
126,12.능안공원,간이운동장,410350,경기 고양시 일산동구 마두동 958,,126.7833053,37.65991728,031-8075-6262,경기도,고양시,20180131
127,12.서악동 경로당(서악3길 44),간이운동장,38064,경상북도 경주시 서악동 658 선도동경로당,,129.1867994,35.8268331,054-779-8425,경상북도,경주시,20180101
128,13. 꼬꼬지길공원(센트럴파크 푸르지오917~918동 앞),간이운동장,,경기 양주시 옥정동 955-5,샌트럴파크 푸르지오917~918동 앞,127.0902926,37.82276926,031-8082-7316,경기도,양주시,19990101
129,13. 송정마을 경로당,간이운동장,38216,경상북도 경주시 양남면 환서리 127 환서1리노인정,,129.4491786,35.68952617,054-779-8172,경상북도,경주시,20160801
130,13.서악동 경로당(2)-능남길 2,간이운동장,38064,경상북도 경주시 서악동 824 농남노보마을회관,,129.1871809,35.82375601,054-779-8422,경상북도,경주시,20190101
131,13.송포8통 서촌마을회관 동네체육시설,간이운동장,10213,법곳동 1045-2,,126.7164967,37.67354978,031-8075-7443,경기도,고양시,20120319
132,13.안골공원,간이운동장,10410,경기도 고양시 일산동구 마두동 992,,126.7784665,37.65747204,031-8075-6262,경기도,고양시,20180131
133,14-1. 옥정저류지공원(GS샌트럴파크 주유소 앞),간이운동장,,경기 양주시 옥정동 941-1,대성베르휠 앞,127.0829093,37.81273685,031-8082-7316,경기도,양주시,19990101
134,14. 늘밭마을 경로당,간이운동장,38216,경상북도 경주시 양남면 효동리 250 효동2리경로당,,129.394992,35.73023083,054-779-8172,경상북도,경주시,20171101
135,14. 옥정저류지공원(e-편한세상1517동 앞),간이운동장,,경기 양주시 옥정동 941-1,e-편한세상아파트 앞,127.0829093,37.81273685,031-8082-7190,경기도,양주시,19990101
136,14.냉천공원,간이운동장,10407,경기도 고양시 일산동구 마두동 837 마두동 경노당,,126.7858478,37.6648701,031-8075-6262,경기도,고양시,20180131
137,14.마을회관 공터(중마을길 89),간이운동장,38057,경상북도 경주시 충효동 1239 이문안중마을경로당,,129.1629555,35.85174857,054-779-8422,경상북도,경주시,20190101
138,15-1.밤가시공원,간이운동장,410830,경기 고양시 일산동구 정발산동 1299,,126.7827438,37.66904136,031-8075-6262,경기도,고양시,20180131
139,15-2.밤가시공원,간이운동장,10406,경기도 고양시 일산동구 정발산동 1280,,126.7829993,37.67004732,031-8075-6262,경기도,고양시,20180131
140,15-3.밤가시공원,간이운동장,410830,경기 고양시 일산동구 정발산동 1270,,126.7853859,37.67097429,031-8075-6262,경기도,고양시,20180131
141,15. 산울림어린이공원(케이플러스호텔 앞),간이운동장,,경기 양주시 고암동 594-4,(케이플러스호텔 앞),127.0766575,37.83215589,031-8082-7318,경기도,양주시,19000101
142,15. 올골마을 경로당,간이운동장,38220,경상북도 경주시 양남면 하서리 1467-1,,129.4515488,35.68554577,054-779-8172,경상북도,경주시,20171101
143,15.송화어린이공원(참맑은한의원 앞),간이운동장,38062,경상북도 경주시 충효동 3018-3,,129.1893453,35.84075536,054-779-8422,경상북도,경주시,20191210
144,15.이산포 마을회관 동네체육시설,간이운동장,10203,법곳동 1735-3,,126.7237586,37.66300034,031-8075-7443,경기도,고양시,20140328
145,15통 체육시설(언하2동),간이운동장,,경북 영천시 언하동 386-2,,128.9629678,35.98490335,054-339-7062,경상북도,영천시,20220407
146,16. 참수물공원(클래스센텀시티아파트 앞),간이운동장,,경기 양주시 옥정동 914-4,(클래스센텀시티 아파트 앞),127.0858263,37.8215209,031-8082-7316,경기도,양주시,19990101
147,16. 후동마을 경로당,간이운동장,38219,경상북도 경주시 양남면 하서리 309 하서2리노인정회관,,129.464204,35.6817633,054-779-8172,경상북도,경주시,20171101
148,16.대화3통마을회관 동네체육시설,간이운동장,10426,대화동 1926-63,,126.7314507,37.65700317,031-8075-7443,경기도,고양시,20140328
149,16.수정공원,간이운동장,410830,경기 고양시 일산동구 정발산동 1329,,126.77862,37.66835976,031-8075-6262,경기도,고양시,20180131
150,16.장매안길 27-2(장매 경로당 공터),간이운동장,38064,경상북도 경주시 서악동 1441-5,,129.1927411,35.81450898,054-779-8422,경상북도,경주시,20191229
151,17. 보물섬어린이공원(옥빛중학교 인근),간이운동장,,경기 양주시 옥정동 1076-1,옥빛중학교 인근-단독주택부지,127.0959974,37.81563151,031-8082-7316,경기도,양주시,19000101
152,17. 읍천마을 경로당,간이운동장,38219,경상북도 경주시 양남면 읍천리 318 읍천1리마을회관,,129.4735281,35.69090465,054-779-8172,경상북도,경주시,20170501
153,17.공원(충효중앙길36-5 근린공원),간이운동장,38061,경상북도 경주시 충효동 2994 프린스목욕탕,,129.1868122,35.84315927,054-779-8422,경상북도,경주시,20200310
154,17.택시정류장 주변 동네체육시설,간이운동장,10380,대화동 2241,,126.7515073,37.67402156,031-8075-7443,경기도,고양시,20150602
155,17통오르막쉼터,간이운동장,39589,경상북도 김천시 모암동 110-2,17통오르막쉼터,128.1222651,36.12533126,031-919-7892,경상북도,김천시,20150101
156,18. 경로당 공터(장매안길 27-2),간이운동장,38064,경상북도 경주시 서악동 1441-5,,129.1927411,35.81450898,054-779-8422,경상북도,경주시,20200811
157,18. 수렴2리 마을회관 앞,간이운동장,38220,경상북도 경주시 양남면 수렴리 425-37 수렴2리마을회관,,129.4516528,35.66244528,054-779-8172,경상북도,경주시,20180601
158,18. 초록숲어린이공원(옥정제6어린이공원),간이운동장,,경기 양주시 옥정동 1073-3,옥정 제6 어린이공원,127.0960717,37.81701144,031-8082-7316,경기도,양주시,19990101
159,18.사재공원,간이운동장,10358,경기도 고양시 일산동구 정발산동 1241,,126.7818175,37.67260753,031-8075-6262,경기도,고양시,20180131
160,18.송산11통마을회관 동네체육시설,간이운동장,10207,경기도 고양시 일산서구 구산동 219,,126.7083094,37.69405402,031-8075-7443,경기도,고양시,20180413
161,19. 석촌경로당 앞,간이운동장,38216,경상북도 경주시 양남면 석촌리 111,,129.4161743,35.71178449,054-779-8172,경상북도,경주시,20190601
162,19. 오르락내리락어린이공원,간이운동장,,경기 양주시 옥정동 1064-3,옥정 제7어린이공원,127.0980954,37.81701671,031-8082-7316,경기도,양주시,19990101
163,19.경로당공터(내외로 3147),간이운동장,38183,경상북도 경주시 광명동 219-4,,129.1480938,35.81680096,054-779-8422,경상북도,경주시,20200910
164,19.매봉재공원,간이운동장,10357,경기도 고양시 일산동구 정발산동 1123 율동경로당,,126.7778151,37.67525614,031-8075-6262,경기도,고양시,20180131
165,19.송산14통마을회관 동네체육시설,간이운동장,10201,경기도 고양시 일산서구 구산동 920-1 송산마을회관,,126.7024966,37.69142307,031-8075-7443,경기도,고양시,20180413
166,1농공단지,간이운동장,755801,경북 봉화군 봉화읍 거촌리 730,,128.7408201,36.87289466,054-679-6282,경상북도,봉화군,20160402
167,1주공아파트내 배드민턴장,간이운동장,210100,강원특별자치도 강릉시 교동 1752,,128.8844991,37.76649615,033-640-5986,강원특별자치도,강릉시,20180823
168,1호 광장 공원 체육시설,기타체육시설(체력단련장),,경북 구미시 선산읍 완전리 258-1,,128.3018095,36.23833581,054-480-4915,경상북도,구미시,19000101
